# Info: Clock: CNTVCT_EL0
# Info: Clock period: 1ns
# Info: Clock query overhead 16ns
# Info: t  2 setting QoS class to User Interactive
# Info: t  1 setting QoS class to User Interactive
# Info: t  0 setting QoS class to User Interactive
# Info: t  4 setting QoS class to User Interactive
# Info: t  5 setting QoS class to User Interactive
# Info: t  6 setting QoS class to User Interactive
# Info: t  3 setting QoS class to User Interactive
# Info: t  7 setting QoS class to User Interactive
# Info: t  8 setting QoS class to User Interactive
# Info: t  9 setting QoS class to User Interactive
# Info: t 10 setting QoS class to User Interactive
# Info: t 11 setting QoS class to User Interactive
# Info: New core: 8200, index  0
# Info: New core: 8201, index  1
# Info: New core: 8202, index  2
# Info: New core: 2, index  3
# Info: New core: 8203, index  4
# Info: New core: 3, index  5
# Info: New core: 4100, index  6
# Info: New core: 4102, index  7
# Info: New core: 4103, index  8
# Info: New core: 4101, index  9
# Info: New core: 0, index 10
# Info: New core: 1, index 11
   0,  9,    8200, 4101,    101.01 ns, 101.02,   0.01,    3.87 GHz, 3.87, 0.00,    3.87, 3.87, 0.00
   0, 10,    8200,    0,    107.52 ns, 107.53,   0.01,    3.87 GHz, 3.93, 0.06,    2.58, 2.55, 0.03
   0, 11,    8200,    1,    117.76 ns, 117.73,   0.03,    3.87 GHz, 3.93, 0.06,    2.58, 2.55, 0.03
   1,  0,    8201, 8200,     39.73 ns,  39.73,   0.00,    3.87 GHz, 3.87, 0.00,    3.81, 3.87, 0.06
   1,  0,    8201, 8200,     40.08 ns,  40.09,   0.01,    3.91 GHz, 3.94, 0.03,    3.81, 3.87, 0.06
   1,  0,    8201, 8200,     40.09 ns,  40.09,   0.00,    3.87 GHz, 3.87, 0.00,    3.87, 3.87, 0.00
   1,  0,    8201, 8200,     36.17 ns,  36.17,   0.00,    3.87 GHz, 3.87, 0.00,    3.87, 3.87, 0.00
   1,  0,    8201, 8200,     40.19 ns,  40.19,   0.00,    3.93 GHz, 3.87, 0.06,    3.87, 3.87, 0.00
   1,  0,    8201, 8200,     40.00 ns,  39.99,   0.01,    3.87 GHz, 3.85, 0.02,    3.87, 3.85, 0.03
   1,  0,    8201, 8200,     37.23 ns,  37.24,   0.01,    3.87 GHz, 3.87, 0.00,    3.87, 3.87, 0.00
   1,  0,    8201, 8200,     40.66 ns,  40.66,   0.00,    3.87 GHz, 4.36, 0.49,    3.87, 4.36, 0.49
   1,  0,    8201, 8200,     37.02 ns,  37.02,   0.00,    3.58 GHz, 4.44, 0.86,    3.33, 4.36, 1.03
   1,  0,    8201, 8200,     39.15 ns,  39.15,   0.00,    4.36 GHz, 4.36, 0.00,    4.36, 4.36, 0.00
   1,  2,    8201, 8202,     41.00 ns,  41.00,   0.00,    3.87 GHz, 3.87, 0.00,    3.93, 3.87, 0.06
   1,  2,    8201, 8202,     40.89 ns,  40.88,   0.01,    3.87 GHz, 3.87, 0.00,    3.87, 3.87, 0.00
   1,  2,    8201, 8202,     41.02 ns,  41.02,   0.00,    3.91 GHz, 3.94, 0.03,    3.84, 3.93, 0.09
   1,  2,    8201, 8202,     40.89 ns,  40.90,   0.01,    3.87 GHz, 3.94, 0.06,    3.87, 3.93, 0.06
   1,  2,    8201, 8202,     40.96 ns,  40.96,   0.00,    3.87 GHz, 3.87, 0.00,    3.87, 3.87, 0.00
